"","term","estimate","std.error","statistic","p.value","variable","BH"
"1","SEXM",-0.541303223906993,0.175904987496706,-3.07724773248472,0.00323093181155387,"1-methylnicotinamide",0.0240560467553318
"2","DietCoconutOil",0.865466124890699,0.40182852144753,2.15381954912753,0.0355733484142907,"1-methylnicotinamide",0.119960349809626
"3","DietFishOil",1.85007171461163,0.412355138076818,4.48659794380198,3.64499941256144e-05,"1-methylnicotinamide",0.000724911470243242
"4","DietKetogenic",1.3691015422292,0.392849610105939,3.48505256721522,0.000963510002195613,"1-methylnicotinamide",0.0097058229306083
"5","DietLard",0.985824371395866,0.392849610105938,2.50941924348613,0.0150121160085152,"1-methylnicotinamide",0.0688360441366061
"6","DietMilkFat",0.811422848451423,0.392849610105939,2.0654795819515,0.0435173702112356,"1-methylnicotinamide",0.137519092492337
"7","DietOliveOil",0.7993889277292,0.392849610105938,2.03484719639567,0.0466107934705232,"1-methylnicotinamide",0.144244101604253
"8","DietPalmOil",0.968871770840312,0.392849610105939,2.46626634191908,0.0167403865518819,"1-methylnicotinamide",0.0727674606185849
"9","SEXM",0.251241821383271,0.0875311023272253,2.87031483328099,0.00577659605812421,"2-aminoadipic-acid",0.0368135613195712
"10","DietCoconutOil",-0.324078169525827,0.199951655318926,-1.62078262872552,0.110682229559953,"2-aminoadipic-acid",0.253759258015502
"11","DietFishOil",-0.30414938038238,0.205189746463754,-1.48228352353906,0.143870733807552,"2-aminoadipic-acid",0.293996716911085
"12","DietKetogenic",-0.375093057983701,0.195483709192938,-1.91879445879295,0.0601126986095211,"2-aminoadipic-acid",0.175212206799845
"13","DietLard",-0.0417625392614791,0.195483709192938,-0.21363692879523,0.831606117657431,"2-aminoadipic-acid",0.897227834258806
"14","DietMilkFat",-0.303673233594812,0.195483709192938,-1.55344521980138,0.125950599232147,"2-aminoadipic-acid",0.271389256798207
"15","DietOliveOil",-0.235657723650368,0.195483709192938,-1.20551080508596,0.233075376576001,"2-aminoadipic-acid",0.402925708471615
"16","DietPalmOil",-0.285474274039257,0.195483709192938,-1.46034815493244,0.14978233006312,"2-aminoadipic-acid",0.29956466012624
"17","SEXM",0.134844208645404,0.0731953395013102,1.84225129037062,0.0707351415508535,"2-deoxycytidine",0.193428459804516
"18","DietCoconutOil",-0.0951691210895401,0.1672037585018,-0.569180513298781,0.571509634367014,"2-deoxycytidine",0.716690163325418
"19","DietFishOil",-0.0191358806327255,0.171583959932958,-0.11152488053197,0.91159891483589,"2-deoxycytidine",0.947286203618619
"20","DietKetogenic",0.0789343766824269,0.163467568451974,0.482874844410604,0.631067023525154,"2-deoxycytidine",0.764190662948334
"21","DietLard",-0.413487431428684,0.163467568451974,-2.52947685797482,0.0142651403506172,"2-deoxycytidine",0.0658121812494733
"22","DietMilkFat",0.15609814551576,0.163467568451974,0.954918134489904,0.343723204512238,"2-deoxycytidine",0.509822188941229
"23","DietOliveOil",0.135460453237982,0.163467568451974,0.828668674286788,0.410809976022243,"2-deoxycytidine",0.569104621481797
"24","DietPalmOil",0.149075266849093,0.163467568451974,0.911956226307304,0.365701016008234,"2-deoxycytidine",0.529878928782644
"25","SEXM",-0.400937818775159,0.0840259794112091,-4.77159351886916,1.34909024253161e-05,"2-deoxyuridine",0.000307429049207204
"26","DietCoconutOil",-0.147501800272484,0.191944728517825,-0.768459761367116,0.445442794733207,"2-deoxyuridine",0.602469391437718
"27","DietFishOil",-0.395667051577853,0.196973063897905,-2.00873684831818,0.0493958290200213,"2-deoxyuridine",0.14978090089942
"28","DietKetogenic",0.0286447982122293,0.187655698227893,0.152645501749926,0.879226511264609,"2-deoxyuridine",0.928621259088463
"29","DietLard",-0.197505994232215,0.187655698227892,-1.05249132372394,0.29709456861149,"2-deoxyuridine",0.463516837335768
"30","DietMilkFat",0.212425335990007,0.187655698227892,1.13199512722515,0.262460516410849,"2-deoxyuridine",0.439912176097526
"31","DietOliveOil",0.0130554122122292,0.187655698227892,0.0695710939530037,0.944782885013323,"2-deoxyuridine",0.965146172158556
"32","DietPalmOil",0.0455930860455626,0.187655698227892,0.24296137274869,0.808923059284608,"2-deoxyuridine",0.879564391926312
"33","SEXM",0.687345442206816,0.113255510579099,6.0689801201926,1.17370879150285e-07,"2-hydroxybutyrate",4.4131450560507e-06
"34","DietCoconutOil",0.543515843904316,0.25871520193614,2.10082685453665,0.0401705604192671,"2-hydroxybutyrate",0.13077169452506
"35","DietFishOil",-0.450966121777338,0.265492709259761,-1.69860077527066,0.0949445681082089,"2-hydroxybutyrate",0.233327827507755
"36","DietKetogenic",1.19244187395748,0.252934176605886,4.71443554982884,1.64965332243568e-05,"2-hydroxybutyrate",0.00036486449955048
"37","DietLard",0.221741008735253,0.252934176605886,0.876674760646375,0.384408650790483,"2-hydroxybutyrate",0.544397938595939
"38","DietMilkFat",0.663123563346365,0.252934176605886,2.62172385023168,0.0112450910588238,"2-hydroxybutyrate",0.0566412750169855
"39","DietOliveOil",0.700981014790809,0.252934176605886,2.77139698635133,0.00756217852876654,"2-hydroxybutyrate",0.043537912284188
"40","DietPalmOil",0.462157107124142,0.252934176605886,1.827183314354,0.0730026986515179,"2-hydroxybutyrate",0.19747492584871
"41","SEXM",0.0593890391686315,0.097724265826778,0.607720494660989,0.545829575831417,"2-hydroxyglutarate",0.697677586488901
"42","DietCoconutOil",0.228270618920636,0.223236406230124,1.02255103804763,0.31091732554136,"2-hydroxyglutarate",0.474259287641181
"43","DietFishOil",0.17460536156661,0.229084483060557,0.762187640270925,0.44914643738391,"2-hydroxyglutarate",0.6042184631712
"44","DietKetogenic",0.109246930992505,0.218248159272105,0.500562897560567,0.618640458377864,"2-hydroxyglutarate",0.753999391734447
"45","DietLard",0.150613919770283,0.218248159272105,0.690103963637567,0.492979034426345,"2-hydroxyglutarate",0.64616222287109
"46","DietMilkFat",0.352031858159172,0.218248159272105,1.61298889911951,0.112368786292931,"2-hydroxyglutarate",0.256064628158437
"47","DietOliveOil",0.343763837159172,0.218248159272105,1.57510532187617,0.120865277018546,"2-hydroxyglutarate",0.268024567360316
"48","DietPalmOil",0.251267431214727,0.218248159272105,1.15129232728811,0.25450393914047,"2-hydroxyglutarate",0.432024745448382
"49","SEXM",0.0235704496852218,0.157054502910676,0.150078152796596,0.881242199680906,"2-oxoadipic-acid",0.929444788443256
"50","DietCoconutOil",-0.558233875643522,0.358767420920657,-1.55597705669874,0.125347483675585,"2-oxoadipic-acid",0.270865826793218
"51","DietFishOil",-0.497333866291007,0.368165975024047,-1.35084146833102,0.182179405601988,"2-oxoadipic-acid",0.339947674969466
"52","DietKetogenic",-0.644232511230455,0.350750715553169,-1.8367247240378,0.0715598428370224,"2-oxoadipic-acid",0.194974644251597
"53","DietLard",-0.200214171619343,0.350750715553169,-0.570816145887501,0.570407881918636,"2-oxoadipic-acid",0.716690163325418
"54","DietMilkFat",-0.617965160397121,0.350750715553169,-1.76183577964347,0.0835550379548874,"2-oxoadipic-acid",0.213719008646515
"55","DietOliveOil",-0.21417548178601,0.350750715553169,-0.610620227668627,0.543921436714269,"2-oxoadipic-acid",0.696812470884378
"56","DietPalmOil",-0.58870320578601,0.350750715553169,-1.678409136978,0.0988399497988035,"2-oxoadipic-acid",0.238995634240194
"57","SEXM",0.00908210120463616,0.181219499850638,0.0501165780289742,0.960207818742244,"3-hydroxybutyrate",0.972344920026758
"58","DietCoconutOil",1.63315769082953,0.413968726633212,3.94512335294487,0.000224516957842332,"3-hydroxybutyrate",0.00306975913268061
"59","DietFishOil",1.19242997280844,0.424813377645251,2.80695014695183,0.00686882385770566,"3-hydroxybutyrate",0.0410602765052572
"60","DietKetogenic",3.54919070170202,0.404718540804587,8.76952831132017,4.26133995167621e-12,"3-hydroxybutyrate",4.84052049571995e-10
"61","DietLard",0.69098753064646,0.404718540804587,1.7073285777142,0.0933003363618914,"3-hydroxybutyrate",0.230795568895205
"62","DietMilkFat",1.59791521097979,0.404718540804587,3.94821351105663,0.000222265635381208,"3-hydroxybutyrate",0.00306975913268061
"63","DietOliveOil",1.07338341159091,0.404718540804587,2.65217256777266,0.010384202089064,"3-hydroxybutyrate",0.0534857532258637
"64","DietPalmOil",0.976009827979795,0.404718540804587,2.41157676156736,0.019187486037694,"3-hydroxybutyrate",0.0775752123674508
"65","SEXM",-0.156328494136886,0.138811637019158,-1.12619156069249,0.264887584829935,"3-ureidopropionate",0.44167508601355
"66","DietCoconutOil",0.651038714938687,0.317094334031683,2.0531389087313,0.0447415091281907,"3-ureidopropionate",0.139608360433192
"67","DietFishOil",0.369704982661053,0.325401187108329,1.13615130278543,0.260732111383084,"3-ureidopropionate",0.4386365721702
"68","DietKetogenic",0.112179794028305,0.310008819290382,0.361860008644553,0.718818536054602,"3-ureidopropionate",0.822757289365389
"69","DietLard",0.835519803306082,0.310008819290382,2.69514849680279,0.00927140037696469,"3-ureidopropionate",0.049447468677145
"70","DietMilkFat",1.27876687013942,0.310008819290382,4.12493706813421,0.000124155868963495,"3-ureidopropionate",0.00186730426921096
"71","DietOliveOil",1.19630865719497,0.310008819290382,3.8589503999704,0.000296927008441695,"3-ureidopropionate",0.00378456119234161
"72","DietPalmOil",1.22996750291719,0.310008819290382,3.96752423280286,0.000208681959956441,"3-ureidopropionate",0.0030178621901393
"73","SEXM",0.0591341187148872,0.115020445901686,0.514118322627895,0.609192199356004,"BH2",0.747328766583549
"74","DietCoconutOil",0.0119563672410107,0.262746931571655,0.0455052592602781,0.963866468842604,"BH2",0.972344920026758
"75","DietFishOil",0.238098795836718,0.269630057262218,0.883057320294094,0.380980511291082,"BH2",0.542608606990329
"76","DietKetogenic",0.0409936079126717,0.256875816710623,0.159585314170901,0.8737819540375,"BH2",0.924168817772433
"77","DietLard",0.0241839189682272,0.256875816710623,0.094146343855603,0.925328957968255,"BH2",0.954523150057789
"78","DietMilkFat",0.13634849380156,0.256875816710623,0.530795368546352,0.597659467570652,"BH2",0.739210394100544
"79","DietOliveOil",0.528392463246005,0.256875816710623,2.05699574997849,0.044355762030488,"BH2",0.138981387695529
"80","DietPalmOil",0.341397986468227,0.256875816710623,1.32903903076567,0.189224801355999,"BH2",0.347914549192449
"81","SEXM",0.057371682148772,0.086213591136498,0.665459835189304,0.508488149207151,"D-Glucuronic-Acid",0.659648469492908
"82","DietCoconutOil",0.458006622810123,0.196941998905571,2.325591419582,0.0236876434231243,"D-Glucuronic-Acid",0.0890655392709473
"83","DietFishOil",1.32951889755289,0.202101246719082,6.57847944600216,1.71618832794704e-08,"D-Glucuronic-Acid",8.06608514135107e-07
"84","DietKetogenic",0.528453942193388,0.192541303949328,2.74462638069837,0.00812616797501137,"D-Glucuronic-Acid",0.0452657653126559
"85","DietLard",0.115060023637832,0.192541303949328,0.597586186848061,0.552525017225667,"D-Glucuronic-Acid",0.703043676740611
"86","DietMilkFat",0.751149000026722,0.192541303949328,3.90123565499694,0.000258962397998599,"D-Glucuronic-Acid",0.00347749505883833
"87","DietOliveOil",0.512048888360054,0.192541303949328,2.6594236034405,0.0101882728515377,"D-Glucuronic-Acid",0.0528384909265954
"88","DietPalmOil",0.540340805360055,0.192541303949328,2.80636307263328,0.0068797803718915,"D-Glucuronic-Acid",0.0410602765052572
"89","SEXM",0.448120667759559,0.0869798596786606,5.15200495166469,3.46625268066012e-06,"N-acetyl-D-glucosamine",8.40845811566583e-05
"90","DietCoconutOil",0.235097597086543,0.198692424289813,1.18322375866545,0.241719322248553,"N-acetyl-D-glucosamine",0.41406134471734
"91","DietFishOil",0.339336604078299,0.203897527626201,1.66425070489522,0.101648803102611,"N-acetyl-D-glucosamine",0.240407689990521
"92","DietKetogenic",0.368315287621798,0.194252615847353,1.89606346362526,0.0631155585977038,"N-acetyl-D-glucosamine",0.179236561349547
"93","DietLard",0.134407844288464,0.194252615847352,0.691922956621004,0.491844701680845,"N-acetyl-D-glucosamine",0.64616222287109
"94","DietMilkFat",0.492616297177353,0.194252615847353,2.53595708365884,0.0140311023671134,"N-acetyl-D-glucosamine",0.0651320307411682
"95","DietOliveOil",0.453657215455131,0.194252615847352,2.33539823119614,0.0231307051605682,"N-acetyl-D-glucosamine",0.0878603229356477
"96","DietPalmOil",0.443115510732909,0.194252615847353,2.28113021181201,0.0263652684174052,"N-acetyl-D-glucosamine",0.0971896169112192
"97","SEXM",0.625545550298585,0.1400589637268,4.46630143229375,3.90886959675303e-05,"N-acetylglutamate",0.00075371024019443
"98","DietCoconutOil",0.53129461785764,0.31994366453576,1.66058802454661,0.102385964010724,"N-acetylglutamate",0.241361269392051
"99","DietFishOil",0.931899586405756,0.328325160919852,2.83834350006835,0.00630584984591386,"N-acetylglutamate",0.0388688449518624
"100","DietKetogenic",0.403414344797841,0.312794481128316,1.28971055800806,0.202452227843467,"N-acetylglutamate",0.364984485025926
"101","DietLard",0.576916006075618,0.312794481128316,1.84439317469592,0.0704176783503033,"N-acetylglutamate",0.19326311722419
"102","DietMilkFat",0.559911446297841,0.312794481128316,1.79002981215692,0.0788559579341463,"N-acetylglutamate",0.206963206935942
"103","DietOliveOil",0.655811317520063,0.312794481128316,2.09662048753038,0.0405567179463353,"N-acetylglutamate",0.130895501698044
"104","DietPalmOil",0.756425531297841,0.312794481128316,2.41828285642781,0.0188710563861793,"N-acetylglutamate",0.0772487530031676
"105","SEXM",0.760350515968207,0.0969400577932404,7.84351209682511,1.39940110326945e-10,"N-acetylglutamine",1.23792388292874e-08
"106","DietCoconutOil",0.773961702528178,0.221445000772507,3.49505159217064,0.000934401246352286,"N-acetylglutamine",0.00962561283913587
"107","DietFishOil",1.9894530321152,0.227246148533763,8.75461716271777,4.50580365293081e-12,"N-acetylglutamine",4.84052049571995e-10
"108","DietKetogenic",1.4391995042903,0.216496783005853,6.64767154647003,1.32012186648919e-08,"N-acetylglutamine",6.79221472651277e-07
"109","DietLard",0.678850933845857,0.216496783005852,3.13561672566519,0.00273115290543699,"N-acetylglutamine",0.0211734740710166
"110","DietMilkFat",1.13963772301253,0.216496783005853,5.26399379792039,2.30939937621357e-06,"N-acetylglutamine",6.01040228515e-05
"111","DietOliveOil",0.604653108901413,0.216496783005852,2.79289650638859,0.00713557427249094,"N-acetylglutamine",0.0419214988508843
"112","DietPalmOil",0.988335738623636,0.216496783005853,4.56512898206399,2.77811673963226e-05,"N-acetylglutamine",0.000596898225200988
"113","SEXM",-0.148518325414669,0.137398818076481,-1.08092869715952,0.284361978088127,"N-acetylmethionine",0.454682351864336
"114","DietCoconutOil",-0.419145440796033,0.313866961375069,-1.33542389730902,0.187140512172285,"N-acetylmethionine",0.344925649886172
"115","DietFishOil",0.847558706254706,0.322089267654107,2.63144038430024,0.0109635469685395,"N-acetylmethionine",0.05570667108339
"116","DietKetogenic",0.52913302611843,0.306853562701701,1.72438286673181,0.0901551879058827,"N-acetylmethionine",0.226744820418809
"117","DietLard",0.143546408896207,0.306853562701701,0.46780101763313,0.641742381544855,"N-acetylmethionine",0.770910975913308
"118","DietMilkFat",-0.29383796277046,0.306853562701701,-0.957583676667641,0.342388728949948,"N-acetylmethionine",0.508846490455259
"119","DietOliveOil",0.0428110289517627,0.306853562701701,0.139516154138253,0.88954285272652,"N-acetylmethionine",0.93557514021027
"120","DietPalmOil",-0.157006603937126,0.306853562701701,-0.511666224614624,0.610896447239316,"N-acetylmethionine",0.748198906065091
"121","SEXM",0.0342484128503368,0.0976948885710723,0.350565043384244,0.727229982413138,"N-acetylphenylalanine",0.827347877117518
"122","DietCoconutOil",-0.028460794960033,0.223169298302189,-0.127530064290003,0.898977732834632,"N-acetylphenylalanine",0.942860885762403
"123","DietFishOil",1.76529898911857,0.229015617120453,7.70820353351748,2.33916676623011e-10,"N-acetylphenylalanine",1.75905340820504e-08
"124","DietKetogenic",-0.261196162093348,0.218182550879676,-1.19714505601043,0.236293236643645,"N-acetylphenylalanine",0.406619025070986
"125","DietLard",0.27321551379554,0.218182550879676,1.25223356631399,0.215689489963736,"N-acetylphenylalanine",0.3819802836862
"126","DietMilkFat",0.705063305684429,0.218182550879676,3.23152929893674,0.00206424007789999,"N-acetylphenylalanine",0.0166914896621591
"127","DietOliveOil",0.528363925184429,0.218182550879676,2.4216598580141,0.0187134921188766,"N-acetylphenylalanine",0.0772487530031676
"128","DietPalmOil",0.375023217851096,0.218182550879676,1.71885064290918,0.0911656981007991,"N-acetylphenylalanine",0.227762807215285
"129","SEXM",0.265218256109301,0.0766796383338824,3.45878334681854,0.00104414766754511,"N-acetylserine",0.0101973902077133
"130","DietCoconutOil",0.00476766977656943,0.175163115812235,0.0272184572332003,0.978382260633811,"N-acetylserine",0.980991279995502
"131","DietFishOil",0.362670983311163,0.179751826840274,2.01762056990625,0.0484325703971146,"N-acetylserine",0.148491970440322
"132","DietKetogenic",0.420005528650698,0.1712490728729,2.4526003067031,0.0173239840654444,"N-acetylserine",0.0741183514182623
"133","DietLard",0.187229644984031,0.1712490728729,1.09331771461905,0.278935204786379,"N-acetylserine",0.453043788335545
"134","DietMilkFat",0.326449388484031,0.1712490728729,1.90628412176175,0.0617499625280445,"N-acetylserine",0.178599891619575
"135","DietOliveOil",0.28057132837292,0.1712490728729,1.63838159042857,0.106949305499794,"N-acetylserine",0.248792515719622
"136","DietPalmOil",0.36708636737292,0.1712490728729,2.14358163355061,0.0364238084299449,"N-acetylserine",0.121736461952527
"137","SEXM",-0.024155171419374,0.0727899810932987,-0.331847474838784,0.741243260746509,"N3-N4-dimethylarginine",0.834453491139782
"138","DietCoconutOil",0.256630363141937,0.166277778107125,1.54338340374384,0.128370426380176,"N3-N4-dimethylarginine",0.275027238284595
"139","DietFishOil",0.383143295826269,0.170633721826097,2.2454136950535,0.0287073540714006,"N3-N4-dimethylarginine",0.103291532352599
"140","DietKetogenic",0.459704444840862,0.162562279211421,2.82786663099742,0.00648880842015733,"N3-N4-dimethylarginine",0.0396714140809619
"141","DietLard",0.0707744766741945,0.16256227921142,0.435368383228367,0.664968516859645,"N3-N4-dimethylarginine",0.786445360938265
"142","DietMilkFat",0.395346619507528,0.162562279211421,2.43197020505206,0.0182397177334304,"N3-N4-dimethylarginine",0.076201487419665
"143","DietOliveOil",0.345588622340861,0.162562279211421,2.12588445497498,0.0379359103376787,"N3-N4-dimethylarginine",0.125673147902795
"144","DietPalmOil",0.275549698174195,0.162562279211421,1.69504081457807,0.0956220401929668,"N3-N4-dimethylarginine",0.234227277606225
"145","SEXM",0.0658799351588251,0.0619690069057236,1.063111036442,0.292294598733517,"N6-acetyllysine",0.461776340856312
"146","DietCoconutOil",0.0580852266466182,0.141558887981871,0.410325536423096,0.68313285182919,"N6-acetyllysine",0.795225858476085
"147","DietFishOil",0.338948539452606,0.145267276174141,2.33327524532288,0.0232502716279174,"N6-acetyllysine",0.0878603229356477
"148","DietKetogenic",0.208801908426275,0.138395735948201,1.50873079286508,0.136989240362621,"N6-acetyllysine",0.285362628123798
"149","DietLard",0.0115830204262742,0.138395735948201,0.0836949227294805,0.933597467070535,"N6-acetyllysine",0.96041764054315
"150","DietMilkFat",0.354071270426274,0.138395735948201,2.55839725118986,0.0132473065840735,"N6-acetyllysine",0.0634520672052438
"151","DietOliveOil",0.307357922870719,0.138395735948201,2.22086266433641,0.0304222022387714,"N6-acetyllysine",0.107406084899324
"152","DietPalmOil",0.175557981648497,0.138395735948201,1.26852160903429,0.209859718274657,"N6-acetyllysine",0.373968028773797
"153","SEXM",0.118617223145949,0.24996087827204,0.474543152376245,0.636957987629393,"Niacin",0.768848164843184
"154","DietCoconutOil",0.125722482022908,0.570998080072405,0.220180218481585,0.826531514995009,"Niacin",0.893034050684262
"155","DietFishOil",0.671233409095832,0.585956395782123,1.14553474273437,0.256859650186044,"Niacin",0.434063948179562
"156","DietKetogenic",0.0619633443157369,0.558239052617809,0.110997867356584,0.912014908803032,"Niacin",0.947286203618619
"157","DietLard",-0.187206505962041,0.558239052617808,-0.335351862404026,0.738612749813858,"Niacin",0.832986085009491
"158","DietMilkFat",0.486985089037959,0.558239052617808,0.87235940723654,0.386737417896468,"Niacin",0.546666425297264
"159","DietOliveOil",0.263018134593515,0.558239052617808,0.471156815991494,0.639359093817253,"Niacin",0.769276861680919
"160","DietPalmOil",0.469783450760181,0.558239052617808,0.841545299557917,0.403621928316571,"Niacin",0.562853882688796
"161","SEXM",-0.0192483653737122,0.129894048791281,-0.1481851212802,0.882728971971389,"Riboflavin",0.929708945269586
"162","DietCoconutOil",0.250556099112371,0.296723443225913,0.844409516108265,0.402033627907474,"Riboflavin",0.561950349788886
"163","DietFishOil",0.833062044210678,0.304496644392693,2.73586609097841,0.00831896066786823,"Riboflavin",0.0459989589870361
"164","DietKetogenic",0.258242982494387,0.290093118728041,0.890207198387518,0.377163207618195,"Riboflavin",0.53819114255955
"165","DietLard",0.221357758216609,0.290093118728041,0.763057597461075,0.448631664594859,"Riboflavin",0.6042184631712
"166","DietMilkFat",0.48631159371661,0.290093118728041,1.67639824015447,0.0992349672483821,"Riboflavin",0.239125855082995
"167","DietOliveOil",0.633100048994387,0.290093118728041,2.18240284971362,0.0332903776520793,"Riboflavin",0.113691891328011
"168","DietPalmOil",0.536662712883276,0.290093118728041,1.84996705622098,0.0695971572894404,"Riboflavin",0.192415670153159
"169","SEXM",0.229709191413481,0.117732251956813,1.95111524323636,0.0560530093082689,"S-methylcysteine",0.16465571484304
"170","DietCoconutOil",0.91267767797115,0.26894164516728,3.39359000129366,0.00127286527451032,"S-methylcysteine",0.0120749880719564
"171","DietFishOil",1.6426237379739,0.275987052457254,5.95181449038562,1.82057549159112e-07,"S-methylcysteine",6.44847671354688e-06
"172","DietKetogenic",2.0583583664594,0.26293210861343,7.82847852745767,1.48155783861153e-10,"S-methylcysteine",1.23792388292874e-08
"173","DietLard",0.415267270792735,0.262932108613429,1.57937070897367,0.119883565571528,"S-methylcysteine",0.266723199141388
"174","DietMilkFat",1.5624215254594,0.26293210861343,5.9423002146783,1.88652244279297e-07,"S-methylcysteine",6.44847671354688e-06
"175","DietOliveOil",1.14632796123718,0.26293210861343,4.35978689435205,5.62911101146917e-05,"S-methylcysteine",0.000978086913578021
"176","DietPalmOil",0.915458723626068,0.26293210861343,3.48173043016212,0.000973370651875134,"S-methylcysteine",0.0097058229306083
"177","SEXM",0.118437200522188,0.14580010061657,0.812325917618246,0.420044511800018,"Thiamine",0.578522844090867
"178","DietCoconutOil",0.940101978897779,0.333058429390779,2.8226337961702,0.00658201462539716,"Thiamine",0.0399167338572473
"179","DietFishOil",1.35388967389937,0.341783490490771,3.96124947976657,0.000213005536666365,"Thiamine",0.00302226723722842
"180","DietKetogenic",1.83657284451013,0.325616194831876,5.6402994496585,5.80326597357063e-07,"Thiamine",1.8974156574457e-05
"181","DietLard",0.81359819045457,0.325616194831876,2.49864166269326,0.0154279401937837,"Thiamine",0.0698904278658151
"182","DietMilkFat",1.71621174789902,0.325616194831876,5.2706584473943,2.25408219739427e-06,"Thiamine",6.01040228515e-05
