Checklist	ERC000011	ENA default sample checklist	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
tax_id	scientific_name	sample_alias	sample_title	sample_description	collection date	geographic location (country and/or sea)
10090	Mus musculus	SB12_control	Diet study scRNA-seq: SB12 control	C57BL/6 small-intestinal epithelial cells; male; low-fat control diet; non-reversal cohort; 12-month endpoint; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB12_male_lard_12mo	Diet study scRNA-seq: SB12 male lard 12mo	C57BL/6 small-intestinal epithelial cells; male; lard-based high-fat diet; non-reversal cohort; 12 months on diet; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB12_male_lard_4mr	Diet study scRNA-seq: SB12 male lard 4MR	"C57BL/6 small-intestinal epithelial cells; male; lard-based high-fat diet; 4-month reversal cohort (on diet for 4 months, then control diet until 12 months); 10x Genomics 3' scRNA-seq."	2020	not collected
10090	Mus musculus	SB12_male_lard_9mr	Diet study scRNA-seq: SB12 male lard 9MR	"C57BL/6 small-intestinal epithelial cells; male; lard-based high-fat diet; 9-month reversal cohort (on diet for 9 months, then control diet until 12 months); 10x Genomics 3' scRNA-seq."	2020	not collected
10090	Mus musculus	SB15_female_keto_12mo	Diet study scRNA-seq: SB15 female ketogenic 12mo	C57BL/6 small-intestinal epithelial cells; female; ketogenic high-fat diet; non-reversal cohort; 12 months on diet; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB15_female_keto_4mr	Diet study scRNA-seq: SB15 female ketogenic 4MR	"C57BL/6 small-intestinal epithelial cells; female; ketogenic high-fat diet; 4-month reversal cohort (on diet for 4 months, then control diet until 12 months); 10x Genomics 3' scRNA-seq."	2020	not collected
10090	Mus musculus	SB15_female_keto_9mr	Diet study scRNA-seq: SB15 female ketogenic 9MR	"C57BL/6 small-intestinal epithelial cells; female; ketogenic high-fat diet; 9-month reversal cohort (on diet for 9 months, then control diet until 12 months); 10x Genomics 3' scRNA-seq."	2020	not collected
10090	Mus musculus	SB16_control_male	Diet study scRNA-seq: SB16 control male	C57BL/6 small-intestinal epithelial cells; male; low-fat control diet; non-reversal cohort; 12-month endpoint; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB16_male_fish_12mo	Diet study scRNA-seq: SB16 male fish oil 12mo	C57BL/6 small-intestinal epithelial cells; male; fish-oil high-fat diet; non-reversal cohort; 12 months on diet; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB16_male_fish_4mr	Diet study scRNA-seq: SB16 male fish oil 4MR	"C57BL/6 small-intestinal epithelial cells; male; fish-oil high-fat diet; 4-month reversal cohort (on diet for 4 months, then control diet until 12 months); 10x Genomics 3' scRNA-seq."	2020	not collected
10090	Mus musculus	SB16_male_fish_9mr	Diet study scRNA-seq: SB16 male fish oil 9MR	"C57BL/6 small-intestinal epithelial cells; male; fish-oil high-fat diet; 9-month reversal cohort (on diet for 9 months, then control diet until 12 months); 10x Genomics 3' scRNA-seq."	2020	not collected
10090	Mus musculus	SB19_male_coco_12mo	Diet study scRNA-seq: SB19 male coconut oil 12mo	C57BL/6 small-intestinal epithelial cells; male; coconut-oil high-fat diet; non-reversal cohort; 12 months on diet; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB19_male_olive_12mo	Diet study scRNA-seq: SB19 male olive oil 12mo	C57BL/6 small-intestinal epithelial cells; male; olive-oil high-fat diet; non-reversal cohort; 12 months on diet; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB19_male_palm_12mo	Diet study scRNA-seq: SB19 male palm oil 12mo	C57BL/6 small-intestinal epithelial cells; male; palm-oil high-fat diet; non-reversal cohort; 12 months on diet; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB21_coco	Diet study scRNA-seq: SB21 coconut oil pooled	C57BL/6 small-intestinal epithelial cells; pooled; coconut-oil high-fat diet; male; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB21_keto	Diet study scRNA-seq: SB21 ketogenic pooled	C57BL/6 small-intestinal epithelial cells; pooled; ketogenic high-fat diet; female; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB21_olive	Diet study scRNA-seq: SB21 olive oil pooled	C57BL/6 small-intestinal epithelial cells; pooled; olive-oil high-fat diet; male; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB21_palm	Diet study scRNA-seq: SB21 palm oil pooled	C57BL/6 small-intestinal epithelial cells; pooled; palm-oil high-fat diet; male; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB14_control	Diet study scRNA-seq: SB14 control	C57BL/6 small-intestinal epithelial cells; male; low-fat purified control diet; non-reversal control cohort; 12-month endpoint; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB14_male_lard_12mo	Diet study scRNA-seq: SB14 male lard 12mo	C57BL/6 small-intestinal epithelial cells; male; lard-based high-fat diet; non-reversal cohort; 12 months on diet; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB14_male_lard_4mr	Diet study scRNA-seq: SB14 male lard 4MR	C57BL/6 small-intestinal epithelial cells; male; lard-based high-fat diet; 4-month reversal cohort (4 months on diet then control diet until 12 months); 12-month endpoint; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB14_male_lard_9mr	Diet study scRNA-seq: SB14 male lard 9MR	C57BL/6 small-intestinal epithelial cells; male; lard-based high-fat diet; 9-month reversal cohort (9 months on diet then control diet until 12 months); 12-month endpoint; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB15_male_keto_12mo	Diet study scRNA-seq: SB15 male ketogenic 12mo	C57BL/6 small-intestinal epithelial cells; male; ketogenic high-fat diet (lard-based); non-reversal cohort; 12 months on diet; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB15_male_keto_9mr	Diet study scRNA-seq: SB15 male ketogenic 9MR	C57BL/6 small-intestinal epithelial cells; male; ketogenic high-fat diet (lard-based); 9-month reversal cohort (9 months on diet then control diet until 12 months); 12-month endpoint; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB17_control_female	Diet study scRNA-seq: SB17 control female	C57BL/6 small-intestinal epithelial cells; female; low-fat purified control diet; non-reversal control cohort; 12-month endpoint; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB17_male_fish_12mo	Diet study scRNA-seq: SB17 male fish oil 12mo	C57BL/6 small-intestinal epithelial cells; male; fish-oil-based high-fat diet; non-reversal cohort; 12 months on diet; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB17_male_fish_4mr	Diet study scRNA-seq: SB17 male fish oil 4MR	C57BL/6 small-intestinal epithelial cells; male; fish-oil-based high-fat diet; 4-month reversal cohort (4 months on diet then control diet until 12 months); 12-month endpoint; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB17_male_fish_9mr	Diet study scRNA-seq: SB17 male fish oil 9MR	C57BL/6 small-intestinal epithelial cells; male; fish-oil-based high-fat diet; 9-month reversal cohort (9 months on diet then control diet until 12 months); 12-month endpoint; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB18_control_female	Diet study scRNA-seq: SB18 control female	C57BL/6 small-intestinal epithelial cells; female; low-fat purified control diet; non-reversal control cohort; 12-month endpoint; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB18_female_keto_4mr	Diet study scRNA-seq: SB18 female ketogenic 4MR	C57BL/6 small-intestinal epithelial cells; female; ketogenic high-fat diet (lard-based); 4-month reversal cohort (4 months on diet then control diet until 12 months); 12-month endpoint; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB18_female_keto_9mr	Diet study scRNA-seq: SB18 female ketogenic 9MR	C57BL/6 small-intestinal epithelial cells; female; ketogenic high-fat diet (lard-based); 9-month reversal cohort (9 months on diet then control diet until 12 months); 12-month endpoint; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB18_male_keto_12mo	Diet study scRNA-seq: SB18 male ketogenic 12mo	C57BL/6 small-intestinal epithelial cells; male; ketogenic high-fat diet (lard-based); non-reversal cohort; 12 months on diet; 10x Genomics 3' scRNA-seq.	2020	not collected
10090	Mus musculus	SB18_male_keto_9mr	Diet study scRNA-seq: SB18 male ketogenic 9MR	C57BL/6 small-intestinal epithelial cells; male; ketogenic high-fat diet (lard-based); 9-month reversal cohort (9 months on diet then control diet until 12 months); 12-month endpoint; 10x Genomics 3' scRNA-seq.	2020	not collected